model,scenario,region,category,policy_category,year,capacity_electricity_coal,investment_energy_supply_electricity_coal,om_cost_fixed_electricity_coal_w_o_ccs,price_carbon,price_primary_energy_coal,price_secondary_energy_electricity,primary_energy_coal_electricity,secondary_energy_electricity_coal,policy_category_coarse,revenue,capex,cost_fuel,cost_om,cost_carbonprice,opex,profit_opexonly,profit,time_from_baseyear,discount_factor,profit_pv
POLES ENGAGE,EN_INDCi2030_800f,SAU,C4,P3b,2020,0.0298321284353733,0.0323218032717704,48.86340713500977,0,2.85962986946106,9.311955451965332,0.0021137129515409,8.659467566758e-4,Delayed action,8063657.621938912,0.0323218032717704,6044436.691693056,1457699.4374415476,0,7502136.129134604,561521.4928043084,561521.4604825052,0,1,561521.4604825052
POLES ENGAGE,EN_INDCi2030_800f,SAU,C4,P3b,2021,0.03622915670275686,0.03092014832079032,48.639589691162115,0,2.980364561080933,13.125741195678712,0.00256542460992928,0.00105591733008618,Delayed action,13859697.598743249,0.03092014832079032,7645900.5915581025,1762171.3168789095,0,9408071.908437012,4451625.690306237,4451625.659386089,1,0.9523809523809523,4239643.485129609
POLES ENGAGE,EN_INDCi2030_800f,SAU,C4,P3b,2022,0.04262618497014042,0.02951849336981024,48.41577224731446,0,3.101099252700806,16.939526939392092,0.00301713626831766,0.00124588790349656,Delayed action,21104751.70474271,0.02951849336981024,9356439.026976394,2063779.6632862173,0,11420218.69026261,9684533.014480101,9684532.984961608,2,0.9070294784580498,8784156.902459508
POLES ENGAGE,EN_INDCi2030_800f,SAU,C4,P3b,2023,0.04902321323752398,0.02811683841883016,48.19195480346681,0,3.2218339443206787,20.75331268310547,0.00346884792670604,0.00143585847690694,Delayed action,29798819.9399373,0.02811683841883016,11176051.99794793,2362524.476663471,0,13538576.474611402,16260243.4653259,16260243.43720906,3,0.863837598531476,14046209.642335868
POLES ENGAGE,EN_INDCi2030_800f,SAU,C4,P3b,2024,0.05542024150490754,0.02671518346785008,47.96813735961915,0,3.342568635940552,24.567098426818852,0.00392055958509442,0.00162582905031732,Delayed action,39941902.30432702,0.02671518346785008,13104739.504472712,2658405.7570106713,0,15763145.261483382,24178757.042843636,24178757.016128454,4,0.8227024747918819,19891923.234560456
POLES ENGAGE,EN_INDCi2030_800f,SAU,C4,P3b,2025,0.0618172697722911,0.02531352851687,47.74431991577149,0,3.463303327560425,28.38088417053223,0.0043722712434828,0.0018157996237277,Delayed action,51533998.79791186,0.02531352851687,15142501.54655074,2951423.504327817,0,18093925.050878555,33440073.747033305,33440073.721719775,5,0.7835261664684589,26201172.769601744
POLES ENGAGE,EN_INDCi2030_800f,SAU,C4,P3b,2026,0.06181725785136216,0.020250822813496,47.6249740600586,0,3.497914457321167,31.001959228515627,0.00435922220349308,0.00181142748333504,Delayed action,56157800.98376558,0.020250822813496,15248186.36827388,2944045.3016350768,0,18192231.669908956,37965569.313856624,37965569.293605804,6,0.7462153966366275,28330492.34896342
POLES ENGAGE,EN_INDCi2030_800f,SAU,C4,P3b,2027,0.06181724593043322,0.015188117110122,47.505628204345705,0,3.5325255870819094,33.62303428649903,0.00434617316350336,0.00180705534294238,Delayed action,60758683.753352895,0.015188117110122,15352967.905964348,2936667.101787763,0,18289635.007752113,42469048.74560078,42469048.73041266,7,0.7106813301301214,30181960.04109061
POLES ENGAGE,EN_INDCi2030_800f,SAU,C4,P3b,2028,0.06181723400950428,0.010125411406748,47.38628234863282,0,3.5671367168426515,36.244109344482425,0.00433312412351364,0.00180268320254972,Delayed action,65336647.10667381,0.010125411406748,15456846.159622138,2929288.904785877,0,18386135.064408015,46950512.04226579,46950512.032140374,8,0.676839362028687,31777954.610754084
POLES ENGAGE,EN_INDCi2030_800f,SAU,C4,P3b,2029,0.06181722208857534,0.00506270570337399,47.266936492919925,0,3.601747846603394,38.86518440246582,0.00432007508352392,0.00179831106215706,Delayed action,69891691.0437283,0.00506270570337399,15559821.129247257,2921910.710629417,0,18481731.839876674,51409959.20385163,51409959.198788926,9,0.6446089162177971,33139318.0819325
